Entity,Code,Year,Memory,Flash,Disk,Solid state
World,OWID_WRL,1956,,,87539016000,
World,OWID_WRL,1957,3785841300000000,,,
World,OWID_WRL,1959,604316800000000,,67593253000,
World,OWID_WRL,1960,45841725000000,,31477012000,
World,OWID_WRL,1964,,,29376050000,
World,OWID_WRL,1965,21710640000000,,,
World,OWID_WRL,1966,,,8365506600,
World,OWID_WRL,1970,4896085000000,,1732299500,
World,OWID_WRL,1973,2327900000000,,1513811200,
World,OWID_WRL,1974,1651418000000,,971197500,
World,OWID_WRL,1975,240145830000,,889963500,
World,OWID_WRL,1976,104797980000,,,
World,OWID_WRL,1977,98399430000,,,
World,OWID_WRL,1978,60336312000,,,
World,OWID_WRL,1979,23899023000,,659504640,
World,OWID_WRL,1980,20353098000,,581068400,
World,OWID_WRL,1981,12753204000,,526733060,
World,OWID_WRL,1982,5310319000,,496166180,
World,OWID_WRL,1983,5145038000,,311560640,
World,OWID_WRL,1984,3314640600,,93411096,
World,OWID_WRL,1985,720389300,,75509450,
World,OWID_WRL,1986,447488000,,43568096,
World,OWID_WRL,1987,303009340,,34098050,
World,OWID_WRL,1988,290970940,,21804590,
World,OWID_WRL,1989,236112860,,15619105,
World,OWID_WRL,1990,90098700,,6473702.5,
World,OWID_WRL,1991,75534056,,5305435.5,
World,OWID_WRL,1992,48423300,,2581653.8,
World,OWID_WRL,1993,47015840,,1285597.1,
World,OWID_WRL,1994,45842030,,756563.3,
World,OWID_WRL,1995,44578668,,363161.03,
World,OWID_WRL,1996,8660024,,210479.83,
World,OWID_WRL,1997,3477017,,78025.63,
World,OWID_WRL,1998,1339704.2,,39446.848,
World,OWID_WRL,1999,1213540.6,,13728.494,
World,OWID_WRL,2000,1045032.1,,6119.5728,
World,OWID_WRL,2001,215668.22,,3784.983,
World,OWID_WRL,2002,192136.88,,1750.348,
World,OWID_WRL,2003,107141.97,269228.5,1054.8236,
World,OWID_WRL,2004,104362.74,262244.8,834.9087,
World,OWID_WRL,2005,100942.766,100916.87,538.3613,
World,OWID_WRL,2006,93394.086,18792.9,280.7894,
World,OWID_WRL,2007,30443.953,9139.283,249.62152,
World,OWID_WRL,2008,11736.104,2200.7043,120.195786,
World,OWID_WRL,2009,11778.007,1950.483,84.43383,
World,OWID_WRL,2010,11587.933,1412.2704,53.41057,
World,OWID_WRL,2011,5897.5786,1158.3726,42.180378,
World,OWID_WRL,2012,4126.757,653.2782,41.325172,
World,OWID_WRL,2013,4067.1821,508.3964,40.728596,694.3193
World,OWID_WRL,2014,4002.2583,366.16135,38.263657,409.94592
World,OWID_WRL,2015,3997.5132,158.12546,30.934978,272.94415
World,OWID_WRL,2016,2961.1104,156.15553,29.870232,219.0232
World,OWID_WRL,2017,2899.3442,152.89827,26.396357,214.45456
World,OWID_WRL,2018,2830.2168,,24.086998,107.345345
World,OWID_WRL,2019,2779.8467,,18.981318,80.13659
World,OWID_WRL,2020,2745.97,,16.25,74.99
World,OWID_WRL,2021,2477.3057,,15.520827,71.62504
World,OWID_WRL,2022,1861.9304,,12.637437,39.79599
World,OWID_WRL,2023,1088.4346,,10.617382,25.906414